date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-09-20,3264.66,3265.04,3257.4,3252.39,527842.06,-5.72,-0.17,3256.436,3294.291,3306.535,744291.93,806235.74,835247.34
2016-09-19,3242.74,3264.9,3263.12,3242.74,588310.81,24.39,0.75,3268.564,3299.962,3311.916,804037.59,836243.33,868836.0
2016-09-14,3245.74,3255.0,3238.73,3231.34,704327.0,-21.6,-0.66,3283.852,3303.808,3316.985,830207.74,862359.47,910610.54
2016-09-13,3265.34,3269.22,3260.33,3246.39,671802.88,-2.27,-0.07,3304.27,3312.714,3323.701,895222.55,871497.58,944818.04
2016-09-12,3271.87,3276.72,3262.6,3234.57,1229176.88,-55.44,-1.67,3320.73,3317.88,3329.597,957429.98,880043.28,1009422.76
2016-09-09,3339.37,3344.95,3318.04,3318.04,826570.38,-21.52,-0.64,3332.146,3322.398,3336.138,868179.55,834161.92,1058235.63
2016-09-08,3338.01,3343.4,3339.56,3328.23,719161.56,-1.26,-0.04,3331.36,3321.303,3334.947,868449.07,833035.58,1075034.14
2016-09-07,3344.07,3357.36,3340.82,3337.75,1029401.06,-1.81,-0.05,3323.764,3318.244,3329.637,894511.2,861708.57,1089596.67
2016-09-06,3322.02,3347.95,3342.63,3300.13,982840.0,22.95,0.69,3321.158,3317.148,3324.763,847772.6,839959.89,1083341.8
2016-09-05,3321.01,3338.42,3319.68,3314.63,782924.75,5.57,0.17,3315.03,3317.068,3320.481,802656.58,834600.41,1079732.43
2016-09-02,3298.72,3320.43,3314.11,3295.76,827918.0,12.53,0.38,3312.65,3318.779,3316.206,800144.29,864258.95,1083924.22
2016-09-01,3326.74,3329.35,3301.58,3301.21,849472.19,-26.21,-0.79,3311.246,3323.87,3310.756,797622.08,901428.66,1081126.5
2016-08-31,3310.57,3333.97,3327.79,3304.66,795708.06,15.8,0.48,3312.724,3330.161,3305.741,828905.94,958861.62,1075405.08
2016-08-30,3310.32,3325.12,3311.99,3304.6,757259.88,4.21,0.13,3313.138,3334.687,3299.027,832147.19,1018138.5,1072051.73
2016-08-29,3306.57,3315.08,3307.78,3297.07,770363.31,0.69,0.02,3319.106,3341.313,3292.88,866544.25,1138802.25,1065272.55
2016-08-26,3312.5,3328.95,3307.09,3301.74,815306.94,-1.88,-0.06,3324.908,3349.877,3286.332,928373.61,1282309.34,1070256.13
2016-08-25,3314.08,3315.08,3308.97,3279.81,1005891.5,-20.89,-0.63,3336.494,3348.591,3281.174,1005235.25,1317032.7,1073513.21
2016-08-24,3341.93,3348.13,3329.86,3323.73,811914.31,-11.97,-0.36,3347.598,3341.03,3276.782,1088817.3,1317484.76,1079608.61
2016-08-23,3332.62,3359.65,3341.83,3324.96,929245.19,5.04,0.15,3356.236,3332.378,3271.201,1204129.81,1326723.71,1119107.23
2016-08-22,3364.68,3372.83,3336.79,3335.47,1079510.12,-28.23,-0.84,3363.52,3323.893,3267.589,1411060.25,1324864.44,1113170.51
2016-08-19,3358.56,3374.05,3365.02,3341.19,1199615.12,0.53,0.02,3374.846,3313.632,3262.294,1636245.08,1303589.48,1094296.6
2016-08-18,3369.95,3394.79,3364.49,3349.69,1423801.75,-8.56,-0.25,3360.688,3297.641,3255.301,1628830.15,1260824.34,1077330.41
2016-08-17,3377.77,3394.39,3373.05,3356.92,1388476.88,-5.2,-0.15,3334.462,3281.321,3249.703,1546152.23,1191948.54,1049142.73
2016-08-16,3403.38,3418.69,3378.25,3372.02,1963897.38,-15.17,-0.45,3308.52,3263.367,3242.931,1449317.6,1125964.95,1016069.52
2016-08-15,3303.47,3417.91,3393.42,3302.38,2205434.25,99.19,3.01,3284.266,3244.447,3236.43,1238668.64,991742.85,962318.08
2016-08-12,3231.81,3294.23,3294.23,3231.14,1162540.5,60.87,1.88,3252.418,3222.786,3229.86,970933.89,858202.93,907202.62
2016-08-11,3239.56,3274.03,3233.36,3232.61,1010412.12,-9.98,-0.31,3234.594,3213.756,3228.962,892818.52,829993.71,900408.11
2016-08-10,3255.18,3261.86,3243.34,3242.75,904303.75,-13.64,-0.42,3228.18,3212.534,3231.132,837744.85,841732.46,903650.4
2016-08-09,3232.6,3257.33,3256.98,3229.17,910652.56,22.8,0.7,3218.214,3210.024,3233.109,802612.3,911490.75,946033.26
2016-08-08,3199.57,3234.48,3234.18,3187.25,866760.5,29.07,0.91,3204.628,3211.285,3233.919,744817.06,901476.58,986767.74
2016-08-05,3201.35,3224.87,3205.11,3192.86,771963.69,3.82,0.12,3193.154,3210.956,3232.376,745471.96,885003.72,1012694.47
2016-08-04,3190.55,3201.55,3201.29,3170.42,735043.75,7.78,0.24,3192.918,3212.961,3231.735,767168.9,893836.48,1018963.71
2016-08-03,3179.68,3197.16,3193.51,3173.54,728641.0,4.46,0.14,3196.888,3218.084,3232.168,845720.08,906336.93,1041509.12
2016-08-02,3173.76,3189.05,3189.05,3165.54,621676.38,12.24,0.39,3201.834,3222.494,3233.332,1020369.2,906174.08,1067525.81
2016-08-01,3196.43,3199.98,3176.81,3156.75,870035.0,-27.12,-0.85,3217.942,3228.412,3234.249,1058136.1,932893.31,1101555.44
2016-07-29,3217.19,3225.42,3203.93,3198.68,880448.38,-17.21,-0.53,3228.758,3236.933,3235.643,1024535.48,956202.32,1124708.95
2016-07-28,3204.46,3235.78,3221.14,3195.27,1127799.62,2.9,0.09,3233.004,3244.168,3233.157,1020504.05,970822.51,1116559.67
2016-07-27,3270.08,3276.51,3218.24,3157.41,1601886.62,-51.35,-1.57,3239.28,3249.73,3229.796,966953.78,965568.34,1100016.0
